町丁目,総世帯数,総人口,総男,総女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
阿佐谷北二丁目,2858,4398,2109,2289,13,13,14,17,13,10,7,13,14,9,14,8,7,10,10,10,14,10,16,6,9,16,14,9,10,9,11,7,6,4,11,9,10,7,8,12,15,8,17,11,17,24,15,18,29,28,30,35,34,33,38,44,37,45,41,46,33,39,43,34,29,42,40,43,27,48,33,47,37,47,55,37,33,46,53,37,42,32,34,53,40,46,35,41,36,34,38,37,32,35,46,34,41,39,30,26,34,38,40,34,24,27,31,42,37,31,30,35,33,32,43,42,29,27,38,26,33,38,32,32,27,19,29,16,26,28,11,22,17,13,13,25,16,18,20,20,15,26,36,16,16,23,16,21,16,30,24,24,21,35,23,24,6,11,18,22,20,23,21,6,9,17,16,11,9,19,6,13,4,13,10,16,6,10,0,17,4,12,5,12,3,8,3,14,3,8,2,6,1,7,1,2,0,1,1,3,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北三丁目,2409,3987,1916,2071,12,17,8,11,9,14,9,7,12,12,11,12,19,20,16,11,12,11,14,18,21,11,16,15,16,16,10,7,20,13,12,13,14,13,11,11,17,13,13,6,10,12,19,16,21,17,26,28,18,25,38,21,27,29,22,27,25,32,33,27,26,37,25,19,26,28,20,30,24,28,29,26,31,29,24,25,41,27,27,35,29,34,32,28,31,27,34,33,43,34,25,36,36,44,41,27,42,33,32,31,45,32,30,33,38,30,26,30,34,23,22,31,24,19,30,29,26,18,22,26,25,27,20,16,23,21,18,16,23,31,14,16,18,20,14,14,24,25,11,21,21,26,16,15,18,30,26,33,25,29,21,31,9,17,16,18,16,22,12,24,16,19,19,30,6,26,13,17,13,22,12,13,4,23,6,12,6,24,8,11,5,9,2,11,4,12,5,5,0,3,0,6,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北四丁目,2500,4146,2012,2134,14,18,21,18,14,16,13,6,16,24,14,9,7,7,13,13,11,5,19,10,13,11,13,12,12,10,13,16,16,7,7,21,21,9,6,11,20,13,11,16,14,14,14,20,22,22,23,30,22,29,35,26,28,35,38,31,40,37,32,35,31,33,34,42,29,46,32,34,33,35,37,27,33,28,44,36,24,25,27,37,34,42,29,30,40,34,41,33,35,25,36,32,41,44,40,38,29,24,42,38,33,41,31,42,37,39,39,31,33,27,32,25,20,26,35,29,34,33,23,25,21,24,14,18,21,20,19,22,24,21,25,18,16,26,18,13,25,21,21,24,9,16,12,20,17,22,24,21,22,23,17,26,16,17,13,15,14,27,15,24,16,15,11,12,10,13,4,11,7,19,7,13,10,10,9,13,2,12,5,17,5,12,3,5,3,2,3,11,2,6,0,2,1,4,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北五丁目,2191,3878,1892,1986,9,15,13,7,13,13,14,10,8,10,14,18,18,14,15,14,22,18,12,10,19,16,17,24,14,15,18,8,16,11,11,7,18,11,14,12,12,12,21,14,14,16,17,13,24,22,29,28,19,25,27,32,20,40,29,41,39,29,28,36,26,25,20,29,27,33,34,31,31,28,36,26,37,30,24,26,37,38,25,27,37,33,37,23,25,42,33,23,27,35,24,30,33,33,28,35,39,37,32,30,25,21,31,34,26,29,28,33,30,24,28,31,30,17,31,19,27,27,21,29,26,22,20,11,15,21,19,24,23,12,21,20,13,25,19,22,19,13,17,15,10,11,15,17,18,29,22,19,21,26,21,29,15,19,14,21,19,15,16,20,18,14,13,10,10,21,7,7,3,9,7,11,7,14,6,16,6,7,6,14,1,11,3,2,3,8,2,8,2,10,0,2,0,2,1,4,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿佐谷北六丁目,1829,3425,1680,1745,6,9,8,9,15,9,13,9,10,16,12,11,20,16,11,14,12,17,20,12,11,17,17,10,18,15,18,15,16,10,11,9,9,15,15,8,12,19,16,19,16,20,11,21,22,27,19,11,29,23,19,24,17,23,19,25,24,20,22,22,25,35,25,23,28,29,17,22,21,24,18,24,23,25,20,24,27,22,35,18,21,22,21,27,24,24,29,33,27,31,38,25,25,26,25,25,28,28,37,31,37,24,39,31,22,33,35,22,24,30,23,27,19,22,21,19,29,18,25,21,22,18,14,20,16,21,21,19,20,11,19,14,19,11,14,10,16,12,10,12,10,11,8,12,12,14,19,22,20,34,18,21,15,12,15,20,15,21,8,23,11,17,17,18,10,7,8,13,12,13,9,13,9,9,8,10,1,13,11,12,4,8,2,12,3,4,1,6,2,2,3,2,0,2,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天沼一丁目,2459,4037,2114,1923,13,14,16,12,11,13,9,3,9,16,9,10,13,10,8,11,17,12,7,16,17,14,9,10,18,19,12,12,12,14,12,13,11,16,16,6,22,13,7,8,18,18,21,21,30,29,37,26,35,31,43,37,38,47,41,39,47,35,39,26,46,29,51,34,35,30,28,28,38,25,37,40,35,31,39,23,35,32,27,19,31,28,31,19,33,22,39,36,24,30,31,18,38,34,28,30,46,30,43,35,31,23,40,31,37,28,35,31,31,24,31,32,31,32,23,22,26,24,35,18,32,20,19,27,25,19,21,19,13,21,28,14,11,15,18,17,20,18,20,12,24,13,21,14,15,21,20,25,28,19,17,28,12,9,18,12,15,20,11,7,16,21,10,6,9,16,9,12,3,16,9,8,9,15,6,18,3,11,3,2,1,10,4,11,4,7,3,12,3,7,1,2,1,1,0,1,0,2,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天沼二丁目,3065,5217,2563,2654,15,14,16,14,14,16,13,15,14,18,20,22,24,15,23,23,21,15,21,18,15,16,12,12,21,15,22,13,9,24,14,14,18,26,17,16,11,11,10,13,15,17,12,20,21,31,36,35,35,46,43,55,51,49,46,56,51,40,38,39,50,52,56,49,40,39,45,31,38,30,56,36,43,34,46,37,41,44,39,33,36,35,52,40,53,45,53,34,49,44,38,31,31,34,44,50,30,30,43,34,37,41,46,52,44,42,36,48,37,37,47,36,32,35,44,45,30,36,31,35,28,27,36,28,25,30,26,27,27,36,34,14,23,26,24,17,18,24,23,26,32,22,19,27,28,20,26,21,26,37,27,28,16,28,10,21,16,17,18,24,19,27,17,17,14,25,12,19,9,16,12,13,13,19,10,24,6,21,4,11,3,13,5,13,4,14,3,9,2,8,2,4,0,6,0,2,0,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天沼三丁目,3899,6081,2967,3114,28,25,22,14,22,30,20,19,25,22,15,14,20,13,15,26,17,14,20,11,13,14,20,18,25,9,17,12,12,11,15,13,20,13,12,16,10,15,13,12,11,20,24,24,30,39,52,40,42,60,62,77,49,59,61,65,63,67,67,56,69,70,77,65,64,46,69,52,57,48,41,44,57,47,46,41,48,43,50,51,52,48,41,36,56,50,52,52,59,43,49,57,55,61,50,55,58,65,45,48,58,46,51,44,41,55,48,44,39,38,37,41,48,39,42,47,31,28,34,30,39,49,32,26,30,25,29,28,30,29,21,30,20,31,25,23,24,20,23,21,20,20,28,32,32,31,24,41,27,35,28,32,20,17,15,21,24,28,18,35,12,25,11,25,12,20,8,14,12,17,10,26,7,17,13,22,5,23,7,19,2,11,1,10,0,3,3,9,3,11,1,5,1,6,2,6,0,3,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本天沼一丁目,1794,3156,1611,1545,8,12,15,17,10,12,14,13,15,17,12,21,7,13,9,7,14,12,15,9,7,14,12,8,11,11,10,9,18,9,10,8,15,4,9,4,6,11,9,10,10,6,13,11,19,13,21,13,20,17,25,16,28,27,26,18,26,23,32,22,40,24,26,23,29,23,21,16,28,25,19,25,26,30,21,18,28,33,29,16,32,26,32,30,25,30,29,30,27,23,20,27,38,26,29,19,29,26,27,22,36,21,21,18,27,18,28,19,33,30,21,18,25,14,26,19,20,26,19,12,9,12,16,26,19,20,17,13,8,11,7,16,14,8,16,17,9,9,16,9,11,12,11,19,15,12,14,18,18,30,21,26,14,15,9,15,11,19,12,12,14,20,16,10,5,12,10,17,7,8,7,8,5,16,5,11,1,11,3,10,6,5,2,4,1,4,0,3,3,2,1,3,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本天沼二丁目,2459,4611,2310,2301,15,20,18,15,20,5,21,29,20,15,13,16,21,16,27,17,27,19,16,23,23,15,23,12,20,25,18,10,14,15,22,16,16,16,19,17,19,18,22,23,15,28,29,17,24,30,28,24,37,41,32,28,41,32,34,34,31,31,34,22,21,34,39,26,32,35,23,36,30,24,34,23,39,28,28,31,29,35,34,34,28,27,37,36,34,33,35,30,39,50,42,34,39,45,38,33,34,34,41,39,39,39,36,38,30,26,30,25,31,29,34,33,40,25,30,34,30,24,31,24,25,23,27,30,27,23,27,29,23,24,19,17,16,20,15,15,16,25,14,17,29,21,20,19,26,20,29,22,27,31,37,29,26,21,23,21,20,21,16,19,17,27,9,22,11,17,13,17,12,20,15,15,12,18,8,20,6,15,7,18,7,12,7,14,3,6,2,12,3,11,3,7,3,2,2,2,0,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本天沼三丁目,1873,3802,1844,1958,14,16,16,19,21,21,20,17,16,23,21,20,17,19,27,21,16,18,18,12,17,21,21,8,18,16,20,14,17,12,10,13,8,15,11,12,12,13,14,11,21,14,15,21,21,13,15,19,19,18,23,18,26,24,24,29,29,25,25,28,29,23,26,33,33,24,21,26,26,20,18,20,13,41,23,23,34,25,34,31,29,28,26,25,28,32,41,33,31,34,29,25,34,23,33,31,28,30,27,38,25,32,37,25,30,27,20,17,24,17,23,28,25,16,28,24,26,16,18,24,21,29,20,25,18,16,22,24,19,19,15,15,21,22,12,13,14,6,11,13,18,16,16,23,15,23,23,21,16,18,26,25,12,18,9,16,24,22,10,12,17,28,12,26,7,17,16,12,13,17,13,12,8,14,7,19,8,15,6,15,4,17,7,11,3,6,3,11,1,17,2,11,2,3,1,2,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田西一丁目,1292,2762,1319,1443,7,7,11,15,7,17,12,11,20,13,15,8,10,21,12,8,15,13,20,11,9,15,15,8,25,19,9,12,22,13,13,7,10,11,13,13,11,8,9,9,13,13,13,13,7,18,15,14,7,9,8,19,8,11,22,16,16,20,15,16,15,11,14,13,13,22,13,17,18,17,17,16,22,20,17,14,16,15,27,22,10,20,13,14,17,22,21,20,25,29,26,29,18,17,20,15,26,23,22,34,29,25,25,25,14,28,28,25,16,27,17,17,17,10,22,23,21,20,14,23,19,17,12,21,18,10,19,16,11,18,16,25,19,13,12,11,9,8,12,13,17,13,16,15,11,14,18,15,15,19,9,20,10,7,13,14,11,12,10,18,12,19,11,15,9,8,4,6,4,7,9,14,4,13,4,10,4,7,4,11,4,8,2,4,4,7,1,1,2,1,1,5,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田西二丁目,1409,3081,1502,1579,12,12,16,12,9,18,14,20,11,18,19,8,21,17,10,12,12,15,18,14,12,13,11,14,13,17,11,14,12,15,16,12,9,14,12,14,14,11,20,7,14,20,16,22,23,19,14,15,13,16,15,18,15,15,14,18,15,15,19,22,23,22,20,27,14,16,20,19,20,17,14,16,27,26,15,17,19,21,20,15,19,29,21,17,22,18,23,20,24,25,27,25,27,31,26,21,23,32,28,24,21,25,30,27,23,16,24,18,23,27,26,26,25,23,31,23,21,23,20,18,20,18,23,22,22,15,23,23,18,9,18,13,20,19,8,13,12,12,11,14,22,9,13,11,11,20,21,22,13,26,11,22,12,6,8,14,15,15,15,13,13,9,14,13,7,15,11,12,2,5,3,9,2,13,6,11,7,13,3,9,1,5,3,7,2,3,2,5,1,4,1,2,0,3,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田西三丁目,987,2236,1092,1144,7,6,5,10,9,10,8,6,12,8,11,6,13,7,12,19,11,6,15,13,9,5,13,11,14,10,13,6,11,11,18,9,10,16,9,12,7,15,10,17,19,12,9,15,11,25,15,12,9,12,14,8,13,13,13,13,13,9,10,8,16,14,16,7,12,16,8,13,13,16,12,9,11,18,20,12,13,12,15,10,13,13,12,18,14,22,12,15,16,15,14,14,16,17,14,13,17,25,19,24,22,22,16,17,18,24,18,30,21,13,22,16,15,18,23,21,22,12,13,12,17,15,17,13,11,7,14,20,19,12,4,11,9,10,10,10,8,6,13,8,7,11,8,7,13,16,11,18,10,6,17,8,4,9,12,14,11,7,6,7,4,5,9,12,7,3,5,8,4,4,1,2,4,9,2,5,4,10,4,8,1,9,4,3,2,7,2,4,0,6,0,5,2,4,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田西四丁目,448,935,454,481,3,3,4,4,3,6,5,1,4,2,6,1,2,6,3,4,4,0,1,3,5,3,2,1,8,2,2,2,5,4,5,2,1,4,4,4,7,4,4,2,4,4,6,4,3,6,7,5,3,5,5,6,9,5,11,6,2,1,2,9,3,5,6,4,6,1,4,4,6,3,6,4,4,2,3,8,4,11,6,9,11,8,4,7,4,2,5,7,5,7,7,5,4,4,8,4,7,8,6,8,8,8,8,6,5,6,16,10,5,9,6,10,16,8,11,9,10,14,9,6,5,8,6,8,4,10,9,4,2,4,3,7,9,1,4,9,6,4,9,4,3,7,3,9,2,5,5,5,2,3,4,10,6,4,5,1,3,5,3,6,5,7,1,5,3,6,1,6,2,4,3,2,2,3,1,6,6,1,0,2,1,3,0,5,2,1,0,1,1,1,0,1,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田東一丁目,2432,4602,2239,2363,10,15,12,16,15,15,19,19,16,12,17,27,23,22,28,14,16,21,20,26,18,21,22,16,16,27,20,17,22,18,12,18,13,16,13,18,24,19,22,17,23,25,19,29,27,21,23,30,18,23,32,29,31,24,39,24,25,35,23,26,27,29,18,27,28,32,31,18,22,33,38,27,24,34,29,28,36,28,30,44,35,32,39,33,38,33,32,36,40,31,36,27,42,43,39,32,33,26,38,47,31,30,39,36,48,37,26,35,29,32,32,33,33,28,42,21,35,25,31,26,26,25,26,29,26,31,22,29,25,23,15,18,23,15,21,13,29,35,33,25,27,17,24,31,27,42,25,35,34,28,25,25,13,11,14,26,14,26,10,23,19,31,21,31,14,22,14,19,12,21,10,19,12,15,13,16,9,17,11,18,8,8,4,10,5,14,1,9,1,8,4,5,1,2,1,2,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田東二丁目,1714,3867,1905,1962,12,11,16,19,19,18,30,31,25,26,26,24,21,24,23,22,19,22,19,13,21,32,21,16,23,20,27,27,26,13,22,24,11,7,16,9,17,12,14,11,24,15,20,18,26,19,19,17,17,20,12,15,29,15,21,18,22,20,23,15,23,14,21,16,17,27,14,21,18,28,30,20,24,28,29,27,30,33,32,27,34,32,32,26,34,41,38,28,28,28,33,38,25,38,27,31,40,35,29,35,31,35,35,34,28,30,30,23,24,37,26,27,27,22,38,27,25,19,32,19,22,22,17,26,14,33,18,24,21,17,20,19,17,15,24,23,22,12,12,13,15,21,24,26,24,15,15,24,17,18,12,15,15,22,11,13,12,13,8,13,11,9,10,12,6,13,5,14,7,15,9,23,11,10,5,15,3,15,5,14,5,5,2,8,1,4,2,6,3,4,3,2,2,3,0,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田東三丁目,1867,3337,1648,1689,13,12,10,8,16,13,16,15,10,8,14,9,12,13,20,10,9,16,10,14,17,10,6,13,13,8,8,11,13,11,10,14,10,7,13,10,12,10,14,14,13,7,15,22,25,12,21,23,19,23,27,36,22,34,28,27,33,29,23,30,22,22,25,20,23,22,26,29,18,23,25,20,24,30,30,26,25,29,33,26,32,24,24,29,30,25,20,25,19,21,26,29,25,27,27,27,36,26,24,31,39,26,22,15,28,29,30,36,26,21,35,20,20,19,16,24,15,17,18,16,15,20,18,14,26,18,16,13,15,18,13,21,18,18,14,15,15,14,13,12,17,15,14,12,12,20,22,13,12,19,15,19,12,14,9,10,13,13,16,10,8,19,17,9,15,15,7,10,8,14,7,21,10,16,8,16,5,9,3,17,5,7,6,9,3,4,1,6,1,1,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田東四丁目,3065,5769,2712,3057,30,28,28,28,34,32,30,37,37,26,30,32,24,34,27,42,27,22,24,33,19,18,22,25,16,12,19,16,16,12,15,19,13,10,12,21,20,24,22,23,31,18,17,30,32,34,34,34,24,31,48,30,29,31,26,35,34,35,31,38,32,39,33,44,36,39,42,41,39,41,32,50,37,53,55,62,43,47,54,52,55,63,49,51,55,48,57,56,55,54,54,48,43,47,47,47,49,51,41,49,43,42,42,61,42,45,34,63,35,44,47,38,35,41,26,46,42,32,42,35,29,41,33,30,28,22,37,36,28,36,28,30,24,27,19,25,19,21,24,30,33,21,24,27,28,23,26,43,29,32,27,30,17,15,12,22,22,27,22,29,13,17,11,25,13,21,11,22,13,15,10,16,9,13,8,15,10,16,10,10,7,17,4,7,8,13,3,11,1,11,0,6,2,4,2,4,0,3,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成田東五丁目,3508,5855,2720,3135,19,13,29,21,13,26,15,18,21,20,14,12,16,19,16,23,18,17,19,10,24,13,14,22,13,14,20,18,22,15,13,16,21,14,13,10,26,26,19,40,23,39,27,26,39,33,33,51,33,39,42,54,49,40,35,39,46,50,37,57,36,53,37,39,42,51,33,57,45,49,32,45,41,50,47,42,42,41,36,51,44,40,42,47,49,64,44,39,48,47,59,41,45,38,38,50,43,56,35,46,42,59,40,53,56,52,68,49,39,36,33,43,61,46,41,56,44,40,33,43,45,36,29,30,29,30,35,27,24,37,32,28,27,22,24,28,31,26,20,28,26,24,34,37,26,36,24,38,32,39,25,39,22,19,16,18,30,29,16,37,16,31,19,30,16,20,8,24,14,28,10,27,14,23,9,18,5,15,9,19,4,9,9,17,6,10,2,9,2,6,2,5,2,3,0,1,0,4,0,2,1,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荻窪一丁目,2620,5391,2627,2764,19,21,19,25,28,24,29,20,27,21,20,23,31,20,26,24,29,15,18,22,23,24,28,25,23,27,29,25,27,26,20,17,21,22,25,23,28,17,25,19,29,29,26,29,29,23,28,21,28,28,29,33,32,25,29,36,36,36,25,33,39,37,28,40,36,30,30,27,28,26,31,32,37,51,48,47,29,36,30,36,38,32,39,30,40,38,40,45,36,48,48,42,39,54,48,55,60,39,61,42,45,33,44,45,45,47,39,49,43,40,41,31,32,26,33,35,42,29,33,35,28,31,30,23,37,30,31,33,22,27,25,23,26,29,18,26,24,21,16,33,33,38,22,31,23,31,31,33,31,33,34,38,16,25,23,24,24,21,18,28,19,22,17,23,11,28,11,15,15,11,11,20,12,26,9,27,7,24,9,19,4,6,5,9,6,14,4,11,3,12,2,5,2,2,0,10,0,2,0,4,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荻窪二丁目,2204,4072,1940,2132,18,16,17,15,22,15,18,18,24,14,16,13,23,25,21,15,16,17,20,15,10,26,13,15,16,15,10,17,16,13,8,7,15,9,16,12,14,7,19,8,19,16,24,17,24,20,27,31,22,20,26,29,26,41,38,31,27,35,29,29,36,27,30,31,24,40,32,19,28,31,21,28,33,32,37,27,31,37,43,26,30,33,25,30,30,31,31,29,21,36,28,30,34,30,25,24,28,33,36,38,20,33,28,38,31,35,31,31,27,26,22,34,14,30,30,24,29,24,23,35,32,30,28,18,17,33,26,19,15,16,20,23,19,20,20,21,18,17,8,20,15,21,15,29,16,28,22,28,19,20,22,21,16,14,15,16,12,19,18,23,15,20,10,28,11,13,13,13,7,16,11,9,5,18,7,13,7,13,7,10,6,10,5,8,2,11,1,9,3,8,2,5,1,4,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荻窪三丁目,3675,7019,3369,3650,34,41,41,49,54,38,47,41,36,39,27,44,39,25,46,33,23,26,36,23,25,35,25,24,21,29,23,14,22,26,32,20,19,14,17,20,14,25,20,24,16,20,24,21,25,37,30,33,48,40,28,29,45,47,51,43,40,34,46,53,45,55,47,45,59,56,59,50,48,68,73,54,65,60,58,69,61,54,60,77,55,60,56,61,62,53,68,57,66,57,51,61,55,61,57,59,60,65,55,62,54,64,56,60,63,65,49,44,52,51,56,58,44,38,38,41,42,51,36,42,45,37,48,34,37,35,34,34,28,37,33,28,36,31,27,24,23,33,25,23,27,23,18,29,24,36,31,35,31,29,30,57,18,27,24,27,27,33,23,40,21,29,14,30,11,24,9,23,13,19,16,33,16,33,10,22,11,17,14,24,15,18,8,24,4,14,4,14,1,7,2,4,4,5,1,4,2,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
