町丁目,総世帯数,総人口,総男,総女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
荻窪四丁目,2577,4214,1903,2311,17,18,16,21,18,12,13,13,13,8,14,7,17,9,10,9,15,9,7,11,9,11,9,7,11,7,8,9,8,12,6,14,4,11,10,12,6,5,11,14,9,13,9,14,8,15,16,19,18,34,27,41,27,39,32,39,39,42,36,37,34,49,37,38,44,45,46,35,35,42,32,41,36,30,32,47,44,35,25,30,31,35,29,42,36,25,33,37,19,37,37,45,26,37,34,39,26,39,31,36,26,39,33,31,31,37,22,39,26,48,38,42,25,38,37,29,32,32,25,30,24,30,19,22,27,19,24,38,23,26,17,25,10,26,27,23,19,18,20,13,16,21,22,25,18,36,15,23,25,26,23,21,16,15,13,22,18,22,17,22,15,18,8,16,11,13,8,22,8,19,8,9,8,9,8,15,4,9,5,15,6,10,6,8,1,10,4,3,1,3,0,8,2,2,1,4,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荻窪五丁目,3110,4936,2273,2663,28,18,23,17,25,15,23,17,25,10,24,14,20,19,13,13,24,22,8,11,14,14,20,10,12,14,14,12,17,14,16,8,16,15,6,12,14,10,11,6,8,18,14,19,21,20,26,44,33,44,43,49,42,51,40,53,47,61,32,39,46,49,39,34,44,43,40,52,50,47,44,60,41,38,39,51,42,53,53,52,65,52,35,47,27,43,40,46,39,33,40,34,43,46,34,61,51,49,42,59,31,50,38,44,34,51,45,51,48,46,23,34,21,34,38,34,29,33,33,30,16,29,26,26,14,30,22,19,11,27,25,16,13,27,23,27,19,23,20,28,17,18,12,28,15,17,19,32,21,23,21,26,13,13,5,12,7,19,16,14,9,14,12,18,12,13,8,10,5,18,6,17,3,16,5,13,4,8,4,10,1,10,4,5,4,8,2,6,1,6,1,3,3,4,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南荻窪一丁目,1892,3830,1820,2010,12,15,13,22,16,15,21,15,22,15,21,12,13,15,16,17,17,13,16,24,21,13,16,17,12,14,22,7,19,16,20,17,15,14,19,12,16,23,13,17,29,17,20,23,26,31,29,28,23,25,27,20,27,28,21,24,18,23,21,31,30,33,19,21,27,33,22,21,27,39,28,32,29,20,26,35,25,23,28,21,26,16,17,33,23,23,19,41,23,27,28,25,39,36,29,36,34,29,34,37,29,38,29,31,29,30,29,29,28,33,29,27,23,25,29,32,30,16,21,18,24,28,19,20,19,19,20,19,16,27,15,25,16,12,13,15,10,19,19,16,11,13,11,22,26,23,16,16,10,17,15,25,13,23,13,20,13,16,18,18,13,14,18,16,10,16,7,12,11,11,7,13,10,17,8,12,1,15,5,11,2,10,5,14,4,6,2,7,1,3,4,3,4,3,0,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南荻窪二丁目,1897,4002,1939,2063,18,11,21,16,20,15,17,24,22,10,27,18,20,25,7,28,17,11,11,18,15,11,9,17,16,17,17,22,23,17,21,20,13,17,18,15,23,24,26,15,21,16,22,28,25,24,27,26,29,17,19,32,26,26,30,16,18,28,28,32,26,33,20,23,21,31,22,27,35,23,26,26,22,35,29,19,30,21,19,27,29,28,25,23,33,38,25,37,30,28,28,33,34,28,30,24,47,33,29,44,25,44,28,44,28,33,37,30,36,30,27,40,27,34,33,21,35,32,31,27,18,25,18,19,13,31,24,22,20,24,17,17,21,18,18,15,22,16,23,20,17,11,17,15,22,17,11,20,23,25,26,19,11,10,9,14,17,19,12,9,12,16,15,16,8,22,3,14,5,10,8,18,13,11,12,16,9,10,3,11,2,4,7,7,4,8,2,3,2,2,0,1,2,6,0,1,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南荻窪三丁目,1637,3010,1458,1552,11,16,11,18,13,19,16,10,14,10,11,11,15,8,13,7,17,6,5,5,9,14,4,5,9,12,10,10,6,9,8,11,5,13,5,9,17,12,19,11,11,13,19,14,20,17,25,16,20,26,30,18,19,25,30,19,25,24,22,24,26,19,23,25,25,27,32,14,25,22,22,33,24,21,23,17,12,20,24,20,22,25,13,16,22,20,24,16,20,18,15,23,18,25,18,21,17,19,21,30,19,24,21,23,21,21,24,41,24,26,29,22,24,27,18,23,19,17,16,21,20,22,18,14,23,17,11,14,13,20,14,9,14,10,9,14,13,18,17,15,15,14,11,19,17,18,19,22,18,19,20,15,9,10,4,13,13,9,7,10,15,13,5,17,12,13,4,6,8,13,6,11,3,9,7,11,8,3,7,6,3,7,4,13,1,10,4,5,2,10,1,4,0,4,1,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南荻窪四丁目,1971,3465,1648,1817,8,16,9,7,5,12,14,17,7,16,16,11,15,18,12,17,18,16,14,11,9,14,11,14,12,17,13,12,15,9,13,18,8,9,14,8,8,5,6,7,12,10,10,15,18,16,16,16,23,33,29,31,31,25,30,27,28,24,29,18,15,28,34,25,19,29,23,26,26,31,28,20,33,18,30,28,44,28,30,33,22,33,32,36,40,31,23,29,24,36,28,33,24,27,31,27,24,29,20,28,31,42,38,26,20,26,24,24,25,27,20,30,19,13,22,33,25,25,24,26,17,17,21,17,18,16,15,20,24,17,11,16,15,17,7,17,15,18,17,11,13,13,10,17,13,20,15,22,20,28,15,16,12,18,9,18,23,13,10,21,9,8,18,14,8,8,6,9,7,14,16,4,4,9,5,16,6,10,1,8,7,3,1,8,2,9,3,3,2,8,0,9,0,2,1,2,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上荻一丁目,1094,1627,726,901,7,7,3,12,4,5,7,11,4,3,3,8,4,8,3,2,3,5,4,0,8,1,1,1,3,5,1,5,5,3,3,3,1,2,3,2,2,4,3,1,5,4,3,4,8,10,10,11,9,14,13,12,11,17,15,12,24,14,19,19,14,27,15,20,19,17,14,14,14,19,19,13,8,16,12,11,21,22,14,14,17,20,10,9,10,20,18,16,14,17,17,22,16,12,11,13,14,21,16,18,7,17,14,9,10,11,15,17,13,11,12,10,6,9,12,7,6,10,5,4,11,7,5,8,6,9,8,9,5,9,4,8,6,14,6,10,6,6,6,12,5,2,5,14,2,13,6,9,8,9,4,12,4,7,5,5,6,4,4,11,6,7,4,5,4,6,1,8,1,5,4,4,4,6,1,4,2,1,2,5,0,4,1,3,0,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上荻二丁目,3206,5046,2524,2522,21,15,20,7,26,17,13,12,7,16,11,15,11,15,17,10,15,10,15,8,8,13,8,10,6,12,11,9,11,12,6,8,11,12,8,12,9,16,10,12,22,15,22,19,24,22,39,29,60,60,54,70,72,70,70,63,66,50,57,48,64,50,44,49,43,46,70,48,60,40,51,54,33,34,42,42,37,42,40,33,38,43,46,34,38,34,49,20,42,34,28,38,28,32,36,29,38,33,36,47,30,36,41,38,43,35,34,37,34,50,32,30,23,38,41,31,34,35,38,29,31,29,26,17,23,21,22,25,28,16,21,28,23,29,12,23,27,20,24,23,21,31,16,20,20,25,28,24,36,32,28,31,11,14,16,22,13,25,17,17,10,19,18,23,18,14,8,20,15,11,13,16,10,14,10,16,8,13,9,16,2,10,7,11,4,9,3,10,1,4,0,4,0,1,0,2,1,4,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上荻三丁目,1623,3111,1477,1634,9,9,12,16,9,10,14,14,18,10,7,9,12,14,14,9,12,11,14,12,11,9,10,13,15,9,10,11,13,16,13,8,10,12,7,7,18,9,10,12,13,16,20,11,17,17,17,16,21,17,23,22,16,17,22,30,23,23,17,26,12,23,17,19,21,26,15,19,22,25,30,23,24,23,24,20,17,20,17,26,34,23,17,19,25,35,25,19,23,31,26,22,29,32,20,19,21,25,22,22,36,24,28,36,27,38,22,21,23,27,29,25,14,23,21,33,18,26,20,24,16,20,18,17,25,13,17,22,23,21,15,15,17,9,12,10,8,14,13,16,10,20,13,15,11,25,28,19,20,15,14,17,9,14,11,13,3,12,11,16,10,13,11,10,2,10,5,10,6,9,7,13,7,10,6,13,6,10,4,9,5,10,2,4,1,6,2,2,1,4,0,6,0,2,1,0,0,2,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上荻四丁目,1982,3463,1621,1842,11,7,7,10,10,7,8,7,14,13,10,13,10,16,11,20,13,11,12,10,23,4,15,16,14,14,9,10,12,11,9,10,11,13,9,15,12,11,9,12,12,9,10,22,22,22,19,21,22,19,20,25,23,20,31,24,25,29,23,32,17,18,25,26,13,26,23,23,25,31,25,19,22,24,30,20,25,23,27,30,24,16,20,38,27,33,28,35,25,30,27,35,26,25,26,31,38,34,19,34,28,22,28,35,19,25,38,35,29,41,28,30,19,20,33,32,26,32,23,21,22,27,25,21,16,19,21,23,17,19,12,16,12,16,14,16,22,23,20,14,24,25,17,19,16,21,20,22,18,22,12,26,12,16,12,16,14,19,12,15,10,21,9,8,11,8,3,9,9,5,3,12,3,13,6,8,8,11,4,7,6,7,2,9,4,5,1,3,2,10,0,5,0,0,1,2,0,0,1,2,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻南一丁目,1413,2557,1193,1364,7,6,8,14,10,9,12,8,10,10,8,11,9,13,8,11,11,6,11,7,12,10,5,12,9,6,4,6,11,11,9,5,8,12,8,4,12,12,8,8,14,4,12,13,15,14,20,16,20,25,15,18,22,20,22,21,17,23,13,24,18,18,19,23,16,14,15,14,20,21,21,21,16,23,11,16,10,21,12,21,21,19,10,25,30,28,16,25,24,22,15,24,16,27,25,17,25,20,23,25,18,24,17,23,18,22,18,25,14,14,18,22,11,8,19,16,20,21,20,21,13,13,17,10,13,14,9,7,8,15,14,12,13,15,11,17,9,15,5,13,12,10,21,9,12,12,15,13,15,15,10,15,13,10,9,8,12,11,9,13,12,12,10,13,3,7,4,8,4,13,5,13,6,6,1,9,5,8,4,8,4,6,2,4,2,5,0,6,0,5,1,3,2,3,2,3,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻南二丁目,2560,3895,1675,2220,10,8,10,9,5,17,7,9,8,9,11,9,12,10,15,9,9,13,10,11,7,12,8,12,15,9,8,6,12,7,9,14,7,13,5,6,16,11,11,7,7,9,15,11,14,19,17,44,31,55,34,56,41,61,36,50,31,43,28,43,29,43,26,46,30,38,24,29,32,31,26,30,32,29,31,29,23,31,40,46,22,31,29,37,33,37,31,37,29,36,25,35,34,37,32,40,35,37,28,48,33,41,23,49,34,37,23,48,32,25,28,44,21,35,24,33,29,26,24,26,21,22,24,25,17,19,18,15,19,20,14,17,16,12,13,10,16,19,10,14,13,24,14,13,14,17,14,16,10,22,11,20,13,14,12,18,7,16,11,16,9,20,10,17,6,8,5,16,3,15,4,14,6,12,6,15,4,14,6,9,3,6,5,6,5,8,1,5,0,9,0,3,2,4,1,0,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻南三丁目,1602,2485,1132,1353,8,11,7,4,10,9,3,3,6,6,5,5,6,8,4,2,6,8,8,3,4,3,7,5,10,9,8,7,6,7,11,6,5,5,13,5,10,8,5,11,5,12,12,8,12,16,22,21,21,22,14,23,26,23,23,34,11,35,21,25,22,29,22,17,17,24,13,20,18,17,20,21,26,16,16,24,23,18,19,20,19,25,16,27,12,21,19,27,27,20,18,22,18,32,20,20,18,24,21,33,21,21,23,22,16,32,22,25,19,17,19,22,18,18,28,19,14,17,17,15,11,14,10,21,19,14,15,18,6,11,7,6,11,16,6,11,7,11,9,17,11,8,11,6,11,8,9,16,16,21,11,19,8,6,7,8,7,16,6,7,6,11,2,14,4,3,5,9,3,7,9,3,2,7,1,7,4,7,0,3,4,3,0,0,0,3,1,2,0,5,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻南四丁目,1628,2923,1325,1598,18,5,14,10,13,8,11,15,16,15,13,11,5,12,9,15,19,7,4,8,14,7,7,11,7,11,7,9,10,17,10,8,13,11,5,8,10,2,11,11,13,9,8,15,9,6,12,22,12,16,21,24,18,27,19,28,24,31,20,23,17,33,17,18,15,22,10,21,21,26,13,29,17,30,26,24,27,32,35,31,24,23,17,26,19,32,23,24,20,21,23,27,18,26,18,26,18,28,27,25,22,30,28,22,27,26,17,20,20,22,24,30,14,20,22,19,26,16,12,20,17,12,18,13,12,14,16,13,18,21,13,15,14,15,17,12,14,12,16,15,7,21,12,13,7,17,17,15,14,16,14,19,8,12,11,7,7,10,13,14,8,13,7,9,6,13,1,12,9,10,5,16,5,16,5,15,5,7,3,10,4,6,3,3,3,9,3,5,1,5,0,3,1,2,1,2,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻北一丁目,1397,2390,1191,1199,7,5,9,7,5,8,3,9,8,11,4,10,10,4,8,9,12,9,8,7,11,14,10,9,9,6,4,10,11,5,8,9,7,8,8,8,9,7,8,11,17,13,10,11,10,21,20,7,19,17,19,20,12,21,20,14,11,17,21,23,12,18,23,12,16,19,23,20,13,21,17,15,14,9,22,16,17,24,17,22,15,19,17,16,18,12,25,16,26,20,21,17,22,16,18,16,20,21,21,28,19,22,17,21,21,19,22,17,20,21,27,28,19,12,15,16,15,14,14,13,20,17,14,12,11,11,20,17,13,13,9,8,16,8,9,9,14,9,12,8,12,16,15,9,12,10,15,11,13,12,12,15,7,8,11,9,9,10,9,15,8,8,3,5,2,10,6,6,4,9,6,6,3,10,6,5,4,6,3,6,5,7,0,5,2,4,1,4,1,0,0,4,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻北二丁目,2418,4304,1923,2381,16,9,11,15,17,15,15,7,19,14,15,22,10,18,15,19,17,21,16,19,12,21,12,11,26,9,13,23,14,13,15,12,12,18,14,16,14,14,16,13,13,19,21,17,15,28,16,44,19,42,21,31,21,31,24,38,29,41,24,44,25,26,24,33,24,15,26,32,26,28,21,28,20,33,29,28,28,21,32,43,33,42,37,43,31,35,33,29,35,37,30,52,27,54,42,40,41,45,42,55,33,38,34,39,36,40,38,42,29,36,35,44,28,46,33,42,31,24,32,27,22,32,19,21,29,33,18,24,19,17,19,20,21,30,21,20,18,24,17,22,17,17,22,19,27,22,21,26,26,18,23,27,10,15,12,15,14,20,10,12,11,19,7,20,6,11,7,14,7,13,14,15,7,18,8,9,4,13,3,15,9,14,3,11,4,5,2,4,3,11,4,6,0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻北三丁目,3064,4886,2163,2723,11,19,19,16,11,15,9,14,9,11,16,15,9,12,13,15,13,14,11,9,9,11,13,8,13,18,11,14,10,13,13,12,11,12,7,14,13,19,10,14,14,18,17,20,15,23,20,28,19,29,34,37,24,42,39,48,29,55,37,45,33,43,37,56,40,58,35,41,40,39,23,40,34,45,44,46,36,42,35,46,39,44,42,35,41,39,45,49,43,48,31,51,40,44,42,56,34,51,42,52,37,47,40,49,29,35,41,47,41,38,30,61,29,35,34,41,37,35,38,40,38,38,39,35,22,29,27,22,25,34,21,27,22,29,25,27,20,30,23,13,21,26,13,32,28,21,28,27,26,31,34,37,14,13,11,23,15,25,10,9,15,13,13,31,8,16,6,10,3,24,7,13,9,15,2,11,8,16,11,14,8,8,2,11,7,9,3,7,5,7,0,4,0,5,2,1,0,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻北四丁目,2363,3770,1728,2042,3,7,12,10,10,9,9,7,9,10,10,9,8,11,8,9,7,13,13,11,8,9,10,10,10,10,5,10,9,9,12,15,8,12,8,10,10,16,14,15,18,21,14,16,16,28,9,32,19,30,23,38,30,35,24,46,23,30,24,32,28,24,21,27,23,24,25,26,22,21,22,33,39,29,30,20,15,33,23,29,34,30,24,32,33,29,35,30,27,39,33,32,32,31,25,27,32,34,33,42,30,39,34,31,33,37,29,32,24,37,23,29,28,34,34,20,19,33,24,16,18,26,23,16,24,26,22,20,26,20,19,20,18,22,20,19,22,18,18,17,15,24,11,22,24,25,27,26,29,28,22,17,11,14,12,30,19,16,14,20,16,16,10,22,21,24,14,13,8,8,8,10,6,10,12,9,3,14,7,3,3,13,1,7,1,11,2,7,1,4,1,5,1,4,2,6,0,4,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西荻北五丁目,1111,1959,934,1025,3,2,6,9,8,7,9,5,5,5,4,8,6,8,4,7,8,9,9,2,8,9,6,6,12,5,10,7,3,5,7,10,6,4,9,3,7,8,7,6,7,7,17,10,18,8,9,16,12,15,21,12,21,16,18,12,11,17,8,12,21,22,17,11,17,10,9,12,9,16,14,18,10,14,15,11,11,15,9,19,10,13,13,19,19,18,22,9,11,12,8,13,15,13,12,18,24,14,9,35,14,10,19,14,14,22,10,16,13,23,22,18,14,16,15,8,11,14,17,7,13,11,10,11,7,11,14,20,6,8,16,10,8,13,9,11,4,8,11,7,9,7,10,9,8,16,10,9,12,18,17,13,5,10,6,7,7,9,5,5,6,12,3,7,5,11,3,8,4,8,3,7,2,7,3,5,1,7,2,10,1,2,5,3,3,4,0,1,0,5,1,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今川一丁目,1133,2383,1168,1215,13,7,8,8,7,10,10,12,10,13,9,11,10,16,7,7,8,8,6,11,15,10,13,14,13,11,14,9,13,13,10,10,12,18,22,16,8,7,14,10,8,15,12,11,8,22,14,15,17,12,20,16,20,14,12,11,15,19,20,13,10,14,15,14,17,16,16,15,18,16,20,14,17,20,15,17,18,10,11,18,14,16,12,13,21,26,18,7,18,20,17,15,16,30,21,31,27,17,32,27,22,15,27,24,23,18,16,25,11,25,21,17,9,16,22,18,18,17,23,21,9,15,17,22,12,15,14,10,12,7,16,15,14,9,6,10,8,3,12,10,7,13,10,12,13,13,8,13,13,15,6,3,5,11,7,3,5,9,7,8,8,11,4,10,6,1,5,10,7,6,3,4,3,4,2,9,5,7,3,2,1,5,2,6,0,1,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今川二丁目,864,1951,976,975,13,11,10,13,11,13,8,11,13,13,8,9,10,13,14,7,10,10,12,11,17,12,14,9,21,5,7,2,8,8,8,4,5,8,4,7,5,9,9,8,7,9,8,10,14,9,10,6,14,11,11,5,13,12,6,8,15,9,10,14,12,9,9,12,12,14,12,15,14,13,14,18,13,9,20,19,21,23,12,16,13,13,20,10,17,16,16,11,14,18,17,14,11,14,10,17,19,8,14,15,9,14,11,11,14,20,14,15,10,11,16,20,13,10,18,22,20,14,20,15,8,11,11,4,13,7,9,9,11,15,9,10,11,8,10,3,9,9,8,8,8,9,10,11,5,11,11,13,11,14,11,13,4,6,5,11,10,8,6,7,6,7,6,4,5,5,2,6,4,5,4,3,1,8,2,3,7,6,3,5,2,3,2,3,0,1,1,6,1,5,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今川三丁目,1423,2876,1376,1500,8,16,11,10,11,13,4,4,15,12,16,19,11,15,16,11,15,16,15,17,10,11,9,12,14,14,15,11,10,15,20,12,9,16,9,11,14,16,14,9,15,10,17,15,11,4,11,12,11,21,9,5,12,19,15,10,8,15,16,18,14,15,13,15,9,13,16,15,11,17,19,15,16,18,22,23,16,22,22,20,19,25,17,23,25,16,17,21,23,18,19,22,23,30,19,18,26,21,38,27,18,22,23,33,28,24,30,20,19,19,20,19,24,16,26,19,15,19,18,18,20,21,15,25,20,21,16,23,15,24,22,10,25,16,6,12,19,16,14,16,20,14,13,16,14,16,17,17,21,9,17,25,9,10,5,19,9,19,7,17,10,9,12,17,11,17,9,8,5,12,5,6,7,14,4,9,6,13,6,11,6,8,7,7,4,1,4,10,0,2,0,4,0,5,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今川四丁目,1157,2415,1173,1242,13,11,5,11,13,8,15,10,10,6,15,9,9,12,12,8,11,12,11,13,8,7,11,12,13,8,11,10,13,9,16,7,8,7,11,7,13,10,15,12,15,7,7,16,10,13,15,11,16,18,14,12,14,15,11,19,12,16,13,15,16,20,13,20,15,14,19,21,11,20,15,22,13,15,17,15,21,21,20,21,13,19,22,16,19,20,18,15,20,23,20,13,20,13,13,20,24,11,13,20,19,18,20,19,23,20,19,23,21,17,7,18,21,21,17,16,18,19,10,16,20,20,15,13,15,15,19,13,16,13,12,8,9,14,7,13,16,8,6,13,9,16,10,12,11,19,9,16,12,15,20,17,9,10,9,8,4,9,6,11,7,12,11,10,6,7,5,4,4,5,3,3,5,8,2,10,2,4,7,7,2,6,1,5,0,4,4,2,1,5,1,3,0,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
